1;1;7
1;2;22
1;3;15
1;4;30
1;5;21
1;6;27
1;7;25
1;8;14
1;9;22
1;10;7
1;11;15
1;12;25
1;13;3
1;14;6
1;15;23
1;16;23
1;17;14
1;18;7
1;19;10
1;20;15
1;21;30
1;22;17
1;23;1
1;24;29
1;25;30
1;26;10
1;27;11
1;28;22
1;29;14
1;30;15
1;31;7
1;32;7
1;33;30
1;34;25
1;35;15
1;36;29
1;37;9
1;38;12
1;39;13
1;40;30
2;1;7
2;2;3
2;3;5
2;4;13
2;5;12
2;6;22
2;7;26
2;8;23
2;9;25
2;10;9
3;11;15
3;12;13
3;13;6
3;14;29
3;15;11
4;16;6
4;17;25
4;18;14
4;19;19
4;20;24
5;16;20
5;17;19
5;18;26
5;19;17
5;20;23
6;16;6
6;17;9
6;18;26
6;19;1
6;20;12
7;21;15
7;22;23
7;23;30
7;24;27
7;25;26
7;26;29
7;27;23
7;28;28
7;29;26
7;30;21
7;31;19
7;32;22
7;33;23
7;34;13
7;35;22
8;21;10
8;22;12
8;23;23
8;24;28
8;25;22
8;26;24
8;27;20
8;28;30
8;29;5
8;30;26
8;31;3
8;32;8
8;33;21
8;34;11
8;35;1
9;21;11
9;22;28
9;23;13
9;24;18
9;25;22
9;26;25
9;27;7
9;28;17
9;29;12
9;30;26
9;31;6
9;32;21
9;33;14
9;34;22
9;35;5
10;21;19
10;22;23
10;23;15
10;24;23
10;25;10
10;26;23
10;27;22
10;28;27
10;29;13
10;30;12
10;31;3
10;32;23
10;33;15
10;34;2
10;35;28
11;21;21
11;22;26
11;23;22
11;24;5
11;25;24
11;26;20
11;27;7
11;28;23
11;29;15
11;30;15
11;31;26
11;32;19
11;33;30
11;34;19
11;35;13
12;21;29
12;22;6
12;23;10
12;24;9
12;25;18
12;26;7
12;27;14
12;28;27
12;29;28
12;30;15
12;31;23
12;32;15
12;33;18
12;34;19
12;35;21
13;21;14
13;22;15
13;23;19
13;24;15
13;25;21
13;26;30
13;27;25
13;28;28
13;29;15
13;30;27
13;31;23
13;32;14
13;33;27
13;34;30
13;35;27
14;21;13
14;22;25
14;23;21
14;24;6
14;25;26
14;26;26
14;27;14
14;28;18
14;29;7
14;30;20
14;31;19
14;32;21
14;33;16
14;34;28
14;35;17
13;36;14
13;37;15
13;38;19
13;39;15
13;40;21
13;41;30
13;42;25
13;43;28
13;44;15
13;45;27
13;46;23
13;47;14
13;48;27
13;49;30
13;50;27
14;36;13
14;37;25
14;38;21
14;39;6
14;40;26
14;41;26
14;42;14
14;43;18
14;44;7
14;45;20
14;46;19
14;47;21
14;48;16
14;49;28
14;50;17
15;36;7
15;37;5
15;38;6
15;39;20
15;40;12
15;41;27
15;42;25
15;43;5
15;44;30
15;45;11
15;46;10
15;47;23
15;48;14
15;49;11
15;50;15
16;36;19
16;37;22
16;38;13
16;39;20
16;40;11
16;41;14
16;42;7
16;43;19
16;44;11
16;45;9
16;46;15
16;47;30
16;48;18
16;49;29
16;50;23
